interaction_type,duration,page_or_product,age,converted
12,117.0,26,37.0,1
0,1.0,13,40.0,0
12,64.0,12,18.0,1
12,179.0,0,27.0,1
0,4.0,24,47.0,0
12,3.0,32,54.0,1
12,265.0,24,42.0,1
12,112.0,21,37.0,1
11,265.0,25,39.0,0
11,164.0,28,22.0,0
12,4.5,18,50.0,1
3,39.0,32,46.0,0
12,233.0,28,50.0,1
7,10.0,22,51.0,0
7,6.0,18,18.0,0
8,7.0,19,41.0,0
11,265.0,25,42.0,0
12,64.0,15,25.0,1
0,1.0,25,18.0,0
8,9.0,18,45.0,0
12,78.0,22,29.0,1
12,45.0,27,39.0,1
8,6.0,19,35.0,0
11,230.0,24,21.0,0
2,70.0,25,29.0,0
12,59.0,27,28.0,1
3,8.0,9,29.0,0
12,96.0,19,29.0,1
12,72.0,27,34.0,1
12,123.0,32,35.0,1
11,248.0,28,40.0,0
12,28.0,22,28.0,1
11,88.0,10,30.0,0
12,25.5,26,33.0,1
11,249.0,24,31.0,0
11,116.0,5,27.0,0
6,84.0,16,18.0,0
7,7.0,19,23.0,0
2,113.0,24,28.0,0
7,10.0,22,32.0,0
12,31.0,3,18.0,1
8,8.0,22,19.0,0
12,176.0,13,51.0,1
12,54.5,21,46.0,1
12,110.0,9,32.0,1
2,63.0,20,29.0,0
12,127.5,27,36.0,1
8,10.0,22,38.0,0
12,31.0,26,39.0,1
8,8.0,2,25.0,0
12,35.0,27,36.0,1
11,265.0,14,25.0,0
12,167.0,32,38.0,1
3,51.0,32,30.0,0
6,92.0,18,26.0,0
10,6.0,14,31.0,0
8,6.0,22,57.0,0
12,265.0,12,18.0,1
12,114.0,4,55.0,1
12,21.0,25,45.0,1
12,55.0,22,18.0,1
8,6.0,27,27.0,0
12,56.0,27,26.0,1
12,187.0,11,18.0,1
11,125.0,32,34.0,0
12,43.0,27,35.0,1
3,34.0,20,25.0,0
3,11.0,1,18.0,0
6,131.0,16,32.0,0
5,16.0,18,30.0,0
3,67.0,20,29.0,0
3,9.0,7,37.0,0
3,55.0,6,28.0,0
12,200.0,1,42.0,1
6,27.0,18,18.0,0
5,25.0,3,35.0,0
12,10.0,26,32.0,1
12,113.0,18,42.0,1
3,48.0,1,18.0,0
8,6.0,16,40.0,0
6,179.0,2,37.0,0
12,33.5,4,29.0,1
12,23.0,22,26.0,1
7,25.5,21,32.0,0
6,67.0,22,27.0,0
6,108.0,2,25.0,0
12,120.0,26,22.0,1
12,91.0,26,20.0,1
8,5.0,21,39.0,0
12,59.0,18,31.0,1
6,113.0,31,31.0,0
9,28.0,18,44.0,0
12,36.0,27,20.0,1
0,3.0,13,18.0,0
11,126.0,13,36.0,0
11,231.0,8,18.0,0
12,232.0,7,41.0,1
5,57.0,27,27.0,0
12,47.0,26,27.0,1
0,4.0,8,43.0,0
10,8.0,24,27.0,0
10,10.0,0,30.0,0
12,31.5,21,48.0,1
12,157.0,14,18.0,1
6,82.0,16,59.0,0
12,7.0,18,39.0,1
7,3.0,21,37.0,0
13,138.0,13,30.0,0
12,4.0,19,37.0,1
12,47.0,3,27.0,1
11,62.5,8,31.0,0
11,74.0,23,48.0,0
12,25.0,21,32.0,1
6,79.0,2,33.0,0
2,54.0,28,25.0,0
12,120.0,18,57.0,1
12,48.5,18,53.0,1
12,8.0,21,33.0,1
13,265.0,0,23.0,0
6,170.0,18,38.0,0
3,36.0,12,21.0,0
8,1.0,18,18.0,0
12,12.0,31,47.0,1
11,265.0,5,18.0,0
8,7.0,22,46.0,0
7,9.0,22,23.0,0
12,31.5,27,48.0,1
2,44.0,9,36.0,0
7,4.0,21,38.0,0
12,161.0,7,22.0,1
12,8.0,26,33.0,1
6,128.0,27,21.0,0
3,43.0,25,38.0,0
12,10.5,19,28.0,1
12,14.0,19,47.0,1
11,237.0,9,32.0,0
8,5.0,30,23.0,0
7,2.0,18,38.0,0
12,62.0,21,52.0,1
6,167.0,27,35.0,0
8,8.0,22,18.0,0
6,52.0,22,25.0,0
12,82.0,22,20.0,1
12,21.0,22,39.0,1
12,26.5,27,27.0,1
3,37.0,7,47.0,0
12,59.0,3,28.0,1
13,129.0,25,21.0,0
1,10.0,20,36.0,0
12,45.0,21,36.0,1
12,18.5,26,31.0,1
12,31.0,18,32.0,1
12,36.0,3,25.0,1
12,180.0,24,18.0,1
10,8.0,12,39.0,0
12,26.0,27,37.0,1
4,43.0,0,48.0,0
12,35.5,27,18.0,1
12,260.0,25,31.0,1
12,30.0,18,46.0,1
12,90.0,3,28.0,1
12,3.0,21,57.0,1
8,4.0,2,18.0,0
5,86.0,3,32.0,0
12,127.5,26,26.0,1
12,71.0,18,36.0,1
7,10.0,21,31.0,0
12,236.0,0,47.0,1
12,81.5,4,35.0,1
0,3.0,7,38.0,0
0,5.0,23,41.0,0
12,16.0,27,33.0,1
2,31.0,14,47.0,0
6,77.0,2,34.0,0
12,37.5,26,36.0,1
11,265.0,9,60.0,0
2,12.0,32,18.0,0
13,163.0,6,29.0,0
8,9.0,19,18.0,0
4,28.0,11,28.0,0
6,82.0,2,33.0,0
2,104.0,20,27.0,0
8,5.0,21,28.0,0
3,18.0,28,34.0,0
12,64.5,26,20.0,1
2,106.0,10,18.0,0
12,56.0,3,18.0,1
9,27.0,16,44.0,0
4,51.0,14,33.0,0
7,6.0,26,42.0,0
12,22.0,3,27.0,1
5,46.0,22,18.0,0
12,18.0,21,50.0,1
12,67.0,4,32.0,1
1,6.0,25,19.0,0
8,8.0,3,47.0,0
6,155.0,27,52.0,0
3,51.0,9,22.0,0
8,8.0,18,22.0,0
4,58.0,13,45.0,0
11,101.0,5,31.0,0
8,7.0,18,47.0,0
12,10.0,22,27.0,1
8,7.0,31,25.0,0
12,214.0,8,35.0,1
12,8.0,22,40.0,1
5,48.0,27,33.0,0
12,113.5,18,31.0,1
6,99.0,22,35.0,0
7,6.0,27,38.0,0
12,6.0,26,34.0,1
11,81.0,28,18.0,0
9,43.0,3,38.0,0
12,28.0,4,33.0,1
3,52.0,25,28.0,0
12,89.0,31,27.0,1
8,6.0,21,32.0,0
13,119.0,8,18.0,0
2,91.0,8,23.0,0
8,6.0,21,30.0,0
12,31.0,19,29.0,1
3,14.0,24,32.0,0
4,53.0,5,38.0,0
7,5.0,19,25.0,0
12,91.5,21,35.0,1
12,30.0,19,20.0,1
12,76.0,21,56.0,1
12,20.5,21,31.0,1
3,26.0,24,21.0,0
3,12.0,10,27.0,0
12,155.0,1,21.0,1
12,7.0,18,27.0,1
2,59.0,12,40.0,0
3,60.0,0,22.0,0
3,48.0,12,38.0,0
6,120.0,30,56.0,0
7,9.0,19,32.0,0
2,12.0,29,35.0,0
12,34.0,21,52.0,1
4,39.0,24,18.0,0
12,12.0,17,25.0,1
11,185.0,32,31.0,0
12,9.0,27,26.0,1
10,7.0,1,49.0,0
12,142.0,18,42.0,1
12,44.0,18,34.0,1
1,10.0,13,60.0,0
6,21.0,27,38.0,0
12,60.0,27,37.0,1
11,160.0,8,33.0,0
12,115.5,26,37.0,1
13,157.0,29,19.0,0
13,225.0,6,29.0,0
11,259.0,1,18.0,0
4,37.0,28,20.0,0
6,54.0,27,39.0,0
6,108.0,18,31.0,0
12,37.5,21,31.0,1
12,49.0,27,41.0,1
12,74.0,10,18.0,1
7,36.0,21,49.0,0
13,231.0,29,40.0,0
12,60.5,18,47.0,1
11,198.0,28,38.0,0
0,3.0,0,18.0,0
2,63.0,1,45.0,0
11,104.0,24,33.0,0
7,5.0,18,26.0,0
12,265.0,20,50.0,1
3,37.0,25,29.0,0
12,22.0,31,36.0,1
6,49.0,3,29.0,0
12,94.5,31,18.0,1
12,79.0,21,30.0,1
12,26.5,26,37.0,1
6,11.0,22,45.0,0
12,130.0,31,50.0,1
12,46.0,18,35.0,1
11,169.0,7,36.0,0
12,50.0,21,41.0,1
12,154.0,8,41.0,1
7,10.0,3,37.0,0
7,1.0,18,25.0,0
3,8.0,5,25.0,0
6,142.0,18,21.0,0
10,2.0,7,18.0,0
0,5.0,10,38.0,0
3,46.0,9,18.0,0
8,4.0,22,25.0,0
11,177.0,10,18.0,0
7,3.0,16,18.0,0
3,37.0,13,22.0,0
12,66.0,18,33.0,1
13,265.0,32,38.0,0
11,212.0,1,27.0,0
2,53.0,25,26.0,0
0,4.0,8,48.0,0
12,189.0,20,35.0,1
12,33.5,18,47.0,1
12,35.0,26,38.0,1
6,43.0,21,50.0,0
12,54.0,18,32.0,1
12,46.0,18,32.0,1
11,219.0,6,33.0,0
7,3.0,16,20.0,0
12,11.5,26,25.0,1
6,67.0,18,28.0,0
13,173.0,0,18.0,0
11,143.0,23,19.0,0
6,170.0,18,21.0,0
12,265.0,10,52.0,1
8,9.0,2,55.0,0
7,8.0,19,35.0,0
12,91.0,26,40.0,1
12,35.0,19,23.0,1
12,87.5,31,38.0,1
11,104.0,6,28.0,0
7,3.0,21,36.0,0
12,57.5,27,21.0,1
6,86.0,19,21.0,0
6,111.0,22,34.0,0
6,89.0,18,41.0,0
2,61.0,29,32.0,0
12,89.0,26,27.0,1
11,176.0,9,33.0,0
6,118.0,22,18.0,0
3,22.0,5,23.0,0
10,2.0,24,20.0,0
12,126.0,26,36.0,1
7,7.0,21,42.0,0
12,173.0,9,28.0,1
11,235.0,1,39.0,0
12,6.0,26,39.0,1
12,90.0,23,22.0,1
12,265.0,24,18.0,1
9,41.0,16,42.0,0
12,87.0,18,36.0,1
11,241.0,20,27.0,0
12,36.0,18,49.0,1
7,7.0,31,18.0,0
5,95.0,2,60.0,0
13,79.0,10,18.0,0
13,265.0,25,34.0,0
11,151.0,1,19.0,0
12,180.0,6,35.0,1
8,6.0,22,45.0,0
12,50.0,27,18.0,1
7,8.0,26,23.0,0
12,54.0,27,18.0,1
12,72.0,27,30.0,1
12,57.0,21,44.0,1
12,38.0,27,38.0,1
12,24.0,3,37.0,1
12,40.0,27,38.0,1
12,7.5,18,47.0,1
12,65.0,27,35.0,1
12,128.0,21,36.0,1
8,10.0,16,47.0,0
12,46.0,5,29.0,1
12,255.0,13,20.0,1
8,7.0,16,18.0,0
8,3.0,31,22.0,0
2,119.0,14,56.0,0
12,34.0,22,18.0,1
6,12.0,16,27.0,0
11,184.0,28,29.0,0
12,44.0,21,32.0,1
12,90.0,27,32.0,1
6,99.0,27,46.0,0
12,92.0,3,25.0,1
3,19.0,23,38.0,0
12,51.5,3,19.0,1
8,2.0,22,18.0,0
12,150.0,27,35.0,1
7,1.0,22,30.0,0
7,5.0,19,18.0,0
12,84.0,14,40.0,1
7,9.0,2,26.0,0
12,26.5,26,34.0,1
8,2.0,27,23.0,0
6,59.0,27,42.0,0
12,95.0,26,39.0,1
12,108.0,21,38.0,1
5,10.0,26,45.0,0
12,9.0,18,42.0,1
6,71.0,27,47.0,0
12,128.5,21,46.0,1
12,10.5,26,32.0,1
12,99.0,18,32.0,1
2,17.0,0,35.0,0
4,56.0,6,23.0,0
6,139.0,22,28.0,0
13,173.0,14,39.0,0
7,9.0,21,38.0,0
12,37.0,26,20.0,1
12,91.0,21,34.0,1
12,108.0,27,44.0,1
13,81.0,14,50.0,0
13,77.0,14,52.0,0
3,45.0,32,25.0,0
12,57.0,31,32.0,1
8,10.0,31,18.0,0
3,42.0,13,35.0,0
3,10.0,32,20.0,0
8,6.0,19,18.0,0
12,37.0,18,39.0,1
12,48.0,22,32.0,1
12,265.0,0,39.0,1
12,142.5,26,42.0,1
12,181.0,8,25.0,1
11,115.0,25,18.0,0
12,48.5,22,53.0,1
12,39.0,18,55.0,1
11,19.0,10,36.0,0
3,50.0,9,26.0,0
12,62.0,18,38.0,1
12,113.0,17,46.0,1
11,241.0,8,44.0,0
12,74.0,18,42.0,1
13,35.0,10,27.0,0
11,88.0,32,45.0,0
6,38.0,16,23.0,0
12,10.0,17,45.0,1
7,3.0,30,30.0,0
12,56.0,21,45.0,1
2,9.0,1,34.0,0
12,71.0,19,37.0,1
12,11.0,21,32.0,1
12,138.0,0,32.0,1
3,38.0,32,36.0,0
12,26.0,4,30.0,1
4,27.0,8,34.0,0
6,68.0,22,41.0,0
6,63.0,27,30.0,0
12,22.5,21,27.0,1
12,20.5,18,45.0,1
11,260.0,10,21.0,0
12,29.0,27,38.0,1
12,45.0,26,33.0,1
1,9.0,20,28.0,0
3,44.0,23,21.0,0
12,56.0,26,23.0,1
11,124.0,25,23.0,0
8,3.0,21,34.0,0
12,45.0,27,20.0,1
7,2.0,2,34.0,0
12,6.0,26,44.0,1
8,5.0,26,41.0,0
12,265.0,13,41.0,1
12,65.0,29,30.0,1
12,38.0,26,38.0,1
3,9.0,0,43.0,0
2,5.0,20,50.0,0
12,54.0,26,29.0,1
2,10.0,13,42.0,0
12,8.0,22,30.0,1
12,69.5,17,30.0,1
12,56.0,22,28.0,1
3,9.0,0,18.0,0
11,265.0,11,28.0,0
8,2.0,16,42.0,0
11,265.0,6,26.0,0
0,1.0,10,26.0,0
12,256.0,32,24.0,1
11,238.0,20,34.0,0
12,161.0,29,60.0,1
6,33.0,31,28.0,0
3,16.0,14,39.0,0
13,265.0,24,20.0,0
11,190.0,14,31.0,0
12,68.0,8,21.0,1
6,11.0,27,44.0,0
12,7.5,18,33.0,1
12,68.0,31,48.0,1
12,103.0,22,49.0,1
3,10.0,6,32.0,0
6,92.0,16,37.0,0
12,15.5,16,28.0,1
11,76.0,32,34.0,0
12,54.0,18,44.0,1
1,8.0,12,49.0,0
12,10.0,17,34.0,1
3,39.0,13,53.0,0
2,120.0,24,33.0,0
4,50.0,25,31.0,0
12,22.5,30,42.0,1
2,93.0,14,28.0,0
6,128.0,21,39.0,0
0,3.0,28,33.0,0
12,37.5,21,36.0,1
11,74.0,14,37.0,0
3,8.0,10,50.0,0
0,2.0,6,36.0,0
0,30.0,23,42.0,0
3,9.0,20,56.0,0
12,35.5,26,44.0,1
12,79.0,26,42.0,1
7,7.0,27,31.0,0
0,4.0,11,24.0,0
6,38.0,27,36.0,0
12,21.0,22,35.0,1
0,3.0,7,30.0,0
0,5.0,9,30.0,0
11,115.0,24,21.0,0
12,222.0,8,52.0,1
3,26.0,11,18.0,0
12,33.5,27,37.0,1
6,99.0,18,18.0,0
12,44.0,21,46.0,1
12,74.5,26,34.0,1
12,39.0,21,37.0,1
12,206.0,9,18.0,1
11,194.0,8,26.0,0
2,25.0,25,36.0,0
5,76.0,16,40.0,0
2,110.0,8,31.0,0
6,72.0,18,26.0,0
12,9.0,22,29.0,1
1,3.0,28,35.0,0
12,49.0,17,41.0,1
3,42.0,25,48.0,0
12,10.0,3,55.0,1
10,2.0,0,24.0,0
12,58.0,26,32.0,1
11,157.0,12,46.0,0
9,46.0,21,60.0,0
12,37.0,18,44.0,1
12,43.0,16,43.0,1
12,112.0,22,40.0,1
12,6.0,18,25.0,1
12,17.0,15,29.0,1
12,41.0,27,39.0,1
12,19.0,18,39.0,1
8,2.0,3,28.0,0
12,98.0,18,32.0,1
2,89.0,27,25.0,0
12,91.0,26,24.0,1
11,68.0,20,29.0,0
3,21.0,32,28.0,0
12,59.0,27,18.0,1
4,12.0,0,37.0,0
8,2.0,19,33.0,0
12,140.5,21,42.0,1
2,60.0,32,51.0,0
7,2.0,2,50.0,0
12,50.0,15,29.0,1
12,253.0,12,18.0,1
11,74.0,8,37.0,0
12,16.5,26,29.0,1
12,65.5,18,35.0,1
11,219.0,9,30.0,0
12,9.0,3,42.0,1
12,42.0,21,44.0,1
6,72.0,18,34.0,0
8,4.0,26,46.0,0
2,13.0,13,27.0,0
12,66.0,26,25.0,1
6,98.0,30,35.0,0
12,57.0,22,27.0,1
7,5.0,21,39.0,0
12,118.5,22,21.0,1
13,265.0,5,34.0,0
12,118.5,22,21.0,1
12,96.0,27,30.0,1
13,79.0,24,32.0,0
12,31.0,15,29.0,1
12,39.5,22,28.0,1
7,8.0,22,42.0,0
13,159.0,10,39.0,0
12,68.0,18,41.0,1
3,14.0,10,30.0,0
4,44.0,10,54.0,0
10,6.0,14,24.0,0
11,118.0,13,33.0,0
12,49.0,28,41.0,1
2,29.0,9,23.0,0
8,5.0,18,33.0,0
12,41.5,21,32.0,1
13,67.0,5,31.0,0
12,98.0,18,30.0,1
1,8.0,14,21.0,0
6,137.0,27,47.0,0
2,48.0,1,21.0,0
3,14.0,24,35.0,0
6,163.0,3,40.0,0
12,55.0,18,37.0,1
12,22.5,21,42.0,1
12,43.0,26,18.0,1
8,2.0,16,21.0,0
0,1.0,14,29.0,0
10,3.0,29,39.0,0
7,2.0,27,20.0,0
7,7.0,27,30.0,0
12,41.5,31,49.0,1
8,10.0,21,28.0,0
8,8.0,22,33.0,0
12,51.0,27,41.0,1
13,79.0,23,52.0,0
7,3.0,2,37.0,0
12,206.0,5,29.0,1
12,238.0,1,25.0,1
12,48.0,22,32.0,1
10,4.0,0,20.0,0
12,250.0,20,39.0,1
12,50.0,18,27.0,1
12,40.0,18,43.0,1
12,168.0,32,28.0,1
3,20.0,8,18.0,0
3,57.0,6,38.0,0
9,20.0,16,22.0,0
6,92.0,27,33.0,0
12,221.0,24,37.0,1
12,10.0,21,51.0,1
12,50.0,26,35.0,1
12,29.0,22,28.0,1
8,17.0,18,33.0,0
6,141.0,21,27.0,0
12,33.0,18,27.0,1
12,78.0,24,20.0,1
3,33.0,5,19.0,0
3,49.0,29,25.0,0
7,10.0,16,25.0,0
12,87.0,26,37.0,1
7,2.0,21,35.0,0
12,10.0,26,27.0,1
6,167.0,16,32.0,0
2,72.0,32,18.0,0
12,7.0,19,28.0,1
12,75.0,18,53.0,1
8,5.0,19,34.0,0
8,1.0,21,54.0,0
10,1.0,11,41.0,0
7,10.0,3,42.0,0
12,32.0,21,48.0,1
12,87.0,18,44.0,1
12,58.0,22,18.0,1
13,164.0,25,44.0,0
8,5.0,18,40.0,0
12,123.0,18,33.0,1
13,112.0,1,30.0,0
12,111.0,26,20.0,1
12,41.0,21,33.0,1
13,85.0,6,25.0,0
12,10.0,18,25.0,1
8,5.0,18,22.0,0
12,15.0,27,31.0,1
12,265.0,12,31.0,1
13,168.0,13,18.0,0
12,36.5,3,25.0,1
12,135.0,5,40.0,1
6,32.0,30,45.0,0
0,1.0,1,36.0,0
5,108.0,31,33.0,0
2,78.0,25,41.0,0
4,17.0,11,34.0,0
6,31.0,16,21.0,0
12,33.5,18,33.0,1
12,82.0,21,34.0,1
12,136.0,0,43.0,1
12,42.0,17,48.0,1
13,89.0,5,33.0,0
0,4.0,6,37.0,0
8,1.0,27,19.0,0
13,218.0,24,29.0,0
12,35.0,21,20.0,1
12,102.0,22,18.0,1
3,28.0,32,24.0,0
11,112.0,28,20.0,0
11,89.0,24,44.0,0
0,1.0,9,39.0,0
12,37.0,3,24.0,1
12,135.0,30,44.0,1
12,55.0,21,48.0,1
12,133.0,26,55.0,1
3,40.0,24,34.0,0
11,73.0,14,22.0,0
2,65.0,9,37.0,0
6,132.0,2,27.0,0
3,13.0,14,38.0,0
1,6.0,10,34.0,0
3,9.0,28,25.0,0
12,41.0,26,33.0,1
12,131.0,27,33.0,1
7,2.0,19,46.0,0
12,64.0,18,31.0,1
12,32.0,18,37.0,1
12,39.0,4,20.0,1
12,95.0,18,46.0,1
6,36.0,21,30.0,0
10,9.0,10,46.0,0
12,166.0,31,45.0,1
6,74.0,31,40.0,0
2,114.0,28,44.0,0
6,42.0,2,44.0,0
12,48.5,18,44.0,1
3,11.0,0,40.0,0
3,44.0,11,44.0,0
3,31.0,10,27.0,0
8,5.0,27,18.0,0
2,85.0,7,43.0,0
11,72.0,0,49.0,0
11,191.0,9,37.0,0
12,55.0,30,18.0,1
8,10.0,27,22.0,0
0,3.0,1,33.0,0
12,71.0,27,41.0,1
12,18.0,21,31.0,1
12,84.0,21,38.0,1
4,24.0,29,20.0,0
6,103.0,27,53.0,0
11,93.0,14,23.0,0
2,120.0,1,23.0,0
8,5.0,18,36.0,0
8,6.0,18,42.0,0
6,114.0,30,54.0,0
12,41.5,27,32.0,1
7,9.0,30,18.0,0
6,50.0,3,35.0,0
11,65.0,23,18.0,0
2,43.0,13,26.0,0
12,108.0,10,33.0,1
3,35.0,20,31.0,0
12,265.0,8,31.0,1
12,58.0,31,24.0,1
11,201.0,20,59.0,0
12,265.0,23,36.0,1
12,40.0,18,34.0,1
11,262.0,6,46.0,0
12,131.5,27,32.0,1
12,59.0,18,34.0,1
10,9.0,20,22.0,0
9,45.0,18,36.0,0
4,35.0,28,31.0,0
6,16.0,19,23.0,0
6,128.0,18,60.0,0
12,95.5,18,37.0,1
10,9.0,5,60.0,0
12,64.0,26,29.0,1
12,87.0,26,40.0,1
6,53.0,27,29.0,0
2,78.0,32,22.0,0
3,23.0,0,18.0,0
12,87.0,11,47.0,1
6,147.0,2,34.0,0
9,59.0,30,35.0,0
0,3.0,9,18.0,0
12,69.5,18,55.0,1
12,114.0,3,21.0,1
7,6.0,27,18.0,0
11,98.0,7,53.0,0
13,173.0,13,25.0,0
12,39.0,27,38.0,1
12,38.0,18,18.0,1
12,84.0,21,32.0,1
12,21.5,3,26.0,1
12,61.0,21,25.0,1
12,23.0,22,23.0,1
7,6.0,21,45.0,0
13,102.0,13,31.0,0
2,51.0,29,43.0,0
12,68.0,27,38.0,1
12,123.0,18,35.0,1
2,37.0,8,38.0,0
3,40.0,0,35.0,0
12,75.0,18,44.0,1
3,15.0,23,30.0,0
11,230.0,0,36.0,0
5,42.0,27,34.0,0
12,33.0,21,44.0,1
12,84.0,19,27.0,1
8,3.0,21,18.0,0
12,52.0,27,20.0,1
5,34.0,18,38.0,0
12,31.0,18,41.0,1
3,15.0,25,45.0,0
8,9.0,31,45.0,0
8,7.0,31,52.0,0
11,234.0,8,20.0,0
12,9.5,21,41.0,1
12,77.0,18,34.0,1
12,33.5,18,34.0,1
4,17.0,0,24.0,0
7,10.0,27,47.0,0
6,131.0,2,27.0,0
3,7.0,0,37.0,0
2,39.0,9,18.0,0
2,90.0,28,45.0,0
12,162.0,18,35.0,1
7,5.0,26,20.0,0
12,51.5,4,18.0,1
9,29.0,22,25.0,0
12,139.0,3,27.0,1
0,4.0,9,22.0,0
12,69.5,21,34.0,1
12,37.0,18,43.0,1
12,73.0,32,24.0,1
13,150.0,1,22.0,0
12,25.0,27,42.0,1
12,163.0,0,27.0,1
2,77.0,29,37.0,0
13,64.0,12,18.0,0
12,115.5,21,49.0,1
7,6.0,26,27.0,0
6,107.0,22,51.0,0
12,141.0,18,45.0,1
12,93.5,21,39.0,1
1,3.0,23,37.0,0
6,116.0,27,34.0,0
12,233.0,23,28.0,1
12,113.0,26,30.0,1
3,35.0,24,33.0,0
7,9.0,30,50.0,0
6,83.0,3,57.0,0
0,4.0,9,18.0,0
13,71.0,32,26.0,0
7,2.0,26,44.0,0
5,54.0,21,40.0,0
11,238.0,25,26.0,0
7,4.0,31,18.0,0
3,23.0,0,22.0,0
6,41.0,19,38.0,0
6,26.0,26,21.0,0
3,26.0,0,18.0,0
12,265.0,14,41.0,1
6,116.0,27,45.0,0
11,83.0,1,40.0,0
12,238.0,10,46.0,1
10,9.0,11,37.0,0
12,21.0,31,56.0,1
12,37.0,18,37.0,1
12,69.5,17,44.0,1
13,158.0,7,42.0,0
6,146.0,21,38.0,0
3,41.0,13,18.0,0
12,161.0,21,41.0,1
12,38.5,21,39.0,1
3,23.0,23,31.0,0
12,89.5,18,38.0,1
11,185.0,5,23.0,0
13,146.0,1,51.0,0
7,8.0,18,60.0,0
12,98.0,21,41.0,1
12,91.0,21,34.0,1
12,265.0,24,25.0,1
11,265.0,7,25.0,0
7,1.0,2,35.0,0
11,175.0,14,18.0,0
12,25.0,18,31.0,1
12,30.0,18,32.0,1
12,171.0,7,18.0,1
12,175.0,8,38.0,1
7,57.5,27,21.0,0
12,141.0,10,51.0,1
12,82.0,18,46.0,1
0,3.0,29,30.0,0
11,265.0,5,48.0,0
6,87.0,18,47.0,0
12,142.5,18,34.0,1
12,142.5,21,34.0,1
7,8.0,22,43.0,0
7,2.0,19,21.0,0
7,8.0,21,38.0,0
12,73.0,26,31.0,1
12,116.0,3,27.0,1
12,37.0,18,43.0,1
12,33.0,21,50.0,1
11,127.0,13,25.0,0
12,140.0,31,46.0,1
13,139.0,7,32.0,0
11,255.0,14,21.0,0
12,75.0,22,18.0,1
6,63.0,22,35.0,0
4,49.0,24,31.0,0
12,76.0,18,55.0,1
13,150.0,13,35.0,0
11,265.0,9,24.0,0
12,7.0,21,52.0,1
6,44.0,22,28.0,0
13,253.0,23,46.0,0
12,39.0,30,32.0,1
8,3.0,18,39.0,0
7,1.0,31,44.0,0
11,243.0,6,20.0,0
10,4.0,7,32.0,0
8,57.0,19,18.0,0
0,1.0,12,42.0,0
3,29.0,23,18.0,0
12,31.0,16,21.0,1
12,89.5,21,25.0,1
11,85.0,28,21.0,0
12,42.0,18,44.0,1
12,10.0,21,40.0,1
8,1.0,22,29.0,0
12,247.0,1,44.0,1
7,104.5,27,30.0,0
3,45.0,13,38.0,0
12,84.0,21,32.0,1
7,1.0,18,30.0,0
12,53.0,18,43.0,1
0,1.0,1,40.0,0
12,9.0,18,58.0,1
12,63.0,18,21.0,1
2,25.0,8,38.0,0
11,249.0,10,37.0,0
11,255.0,7,37.0,0
0,3.0,0,33.0,0
11,204.0,6,33.0,0
12,74.0,16,28.0,1
11,202.0,28,45.0,0
12,192.0,5,33.0,1
6,126.0,2,18.0,0
12,265.0,13,21.0,1
12,7.5,27,29.0,1
12,87.0,26,36.0,1
12,6.0,18,41.0,1
7,9.0,18,38.0,0
12,114.0,27,23.0,1
12,57.0,18,37.0,1
11,160.0,14,54.0,0
3,30.0,25,18.0,0
12,22.0,17,36.0,1
12,53.0,22,39.0,1
13,202.0,6,48.0,0
12,87.0,21,47.0,1
6,177.0,22,34.0,0
3,8.0,0,34.0,0
12,85.0,28,37.0,1
12,147.0,28,24.0,1
12,65.0,31,27.0,1
12,189.0,32,28.0,1
8,10.0,27,31.0,0
0,1.0,5,32.0,0
2,94.0,29,35.0,0
12,82.0,18,32.0,1
11,103.0,20,18.0,0
12,117.0,31,37.0,1
7,8.0,22,23.0,0
6,167.0,21,30.0,0
6,33.0,19,31.0,0
12,81.0,13,30.0,1
12,34.0,26,25.0,1
2,54.0,8,38.0,0
12,63.5,19,20.0,1
12,265.0,6,32.0,1
11,205.0,5,18.0,0
12,76.0,14,18.0,1
11,194.0,11,30.0,0
12,57.0,18,44.0,1
12,20.0,27,27.0,1
12,14.0,18,44.0,1
2,55.0,1,18.0,0
8,1.0,30,56.0,0
3,42.0,28,18.0,0
7,8.0,22,43.0,0
11,68.0,7,33.0,0
6,33.0,26,47.0,0
8,7.0,22,30.0,0
2,109.0,25,32.0,0
11,221.0,0,40.0,0
3,19.0,28,18.0,0
3,43.0,8,43.0,0
2,30.0,6,22.0,0
12,98.5,27,28.0,1
9,18.0,18,19.0,0
12,213.0,8,36.0,1
12,141.0,15,37.0,1
12,48.0,18,43.0,1
2,17.0,10,50.0,0
0,1.0,12,20.0,0
0,4.0,12,23.0,0
12,50.0,27,19.0,1
12,40.0,19,21.0,1
12,257.0,6,21.0,1
6,171.0,27,35.0,0
12,83.5,19,31.0,1
12,72.0,19,30.0,1
3,23.0,9,24.0,0
10,7.0,24,36.0,0
11,127.0,8,35.0,0
12,34.0,21,34.0,1
12,265.0,13,23.0,1
11,76.0,13,56.0,0
12,28.0,27,32.0,1
6,37.0,16,25.0,0
12,111.0,26,37.0,1
8,6.0,21,20.0,0
12,126.0,12,24.0,1
12,140.0,10,19.0,1
12,71.0,21,35.0,1
12,48.0,27,38.0,1
12,44.5,21,31.0,1
2,10.0,12,35.0,0
0,108.5,7,38.0,0
2,113.0,8,18.0,0
12,17.0,22,23.0,1
8,9.0,18,20.0,0
5,111.0,18,18.0,0
11,203.0,28,34.0,0
